Name,Phone,EmailID,Birthday,Company,Occupation
,,,,,
Jose A. Smith,803-499-5702,JoseASmith@dayrep.com            This is a real email address. Click here to activate it!,"April 25, 1989",Official All Star Café,Job development specialist
Arturo N. Posey,914-300-0129,ArturoNPosey@dayrep.com            This is a real email address. Click here to activate it!,"April 23, 1952",Northern Star,Merchandise window trimmer
Melissa S. Brown,716-697-0777,MelissaSBrown@jourrapide.com            This is a real email address. Click here to activate it!,"November 10, 1941",Rainbow Bay Crafts,Electronic transcriber
William B. Young,802-651-8442,WilliamBYoung@teleworm.us            This is a real email address. Click here to activate it!,"October 5, 1936",W. Bell & Co.,Hand packer
Diane T. Davis,708-452-9139,DianeTDavis@armyspy.com            This is a real email address. Click here to activate it!,"October 24, 1955",Raleigh's,Web writer
Joan B. Ewart,410-833-4625,JoanBEwart@armyspy.com            This is a real email address. Click here to activate it!,"July 18, 1955",Omni Realty,Maid
Yvette C. Green,616-475-5643,YvetteCGreen@teleworm.us            This is a real email address. Click here to activate it!,"January 27, 1990",Hoyden,Checker
Clarence M. Sabol,217-550-0218,ClarenceMSabol@dayrep.com            This is a real email address. Click here to activate it!,"July 16, 1937",Poore Simon's,Qualified members of the engine department
Jeanette E. Lien,434-857-2915,JeanetteELien@jourrapide.com            This is a real email address. Click here to activate it!,"January 21, 1969",Muscle Factory,Loan counselor
Ina R. Rowland,858-434-5836,InaRRowland@rhyta.com            This is a real email address. Click here to activate it!,"December 11, 1969",Perisolution,Copy writer
Linda T. Purcell,503-296-8334,LindaTPurcell@dayrep.com            This is a real email address. Click here to activate it!,"September 21, 1958",Harmony House,Image consultant
Karen J. Silva,660-856-9551,KarenJSilva@dayrep.com            This is a real email address. Click here to activate it!,"October 17, 1971",Ideal Garden Maintenance,Store detective
Sylvia D. Ahlers,910-667-0726,SylviaDAhlers@rhyta.com            This is a real email address. Click here to activate it!,"January 27, 1976",Town and Country Convenience Stores,Measurer
Deana R. Chiles,617-880-2480,DeanaRChiles@dayrep.com            This is a real email address. Click here to activate it!,"May 1, 1948",Modern Architecture Design,Product designer
